name,Moisture reading,Moisture status,Temperature reading,Tempetature status,Time of measurments
Basil,469,Your Basil is hydrated,1,Your Basil is too cold. Move it to a warmer place,2024-01-18 13:58:14
Thyme,386,Your Thyme is dehydrated. Water it ASAP,30,Your Thyme is too hot. Move it to a cooler place,2024-01-17 14:23:57
Dill,583,Your dill is hydrated,34,Your dill is too hot. Move it to a cooler place,2024-01-17 14:24:21
Potato,550,Your Potato is hydrated,4,Your Potato is too cold. Move it to a warmer place,2024-01-17 14:24:33
Asparagus,397,Your Asparagus is dehydrated. Water it ASAP,31,Your Asparagus is too hot. Move it to a cooler place,2024-01-17 17:50:38
Basil,469,Your Basil is hydrated,1,Your Basil is too cold. Move it to a warmer place,2024-01-18 13:58:14
Thyme,597,Your Thyme is hydrated,31,Your Thyme is too hot. Move it to a cooler place,2024-01-18 10:47:13
Dill,320,Your Dill is dehydrated. Water it ASAP,10,Your Dill soil temperature is good,2024-01-18 10:47:24
Potato,423,Your Potato is hydrated,4,Your Potato is too cold. Move it to a warmer place,2024-01-18 10:47:36
Asparagus,403,Your Asparagus is hydrated,16,Your Asparagus soil temperature is good,2024-01-18 10:47:47
Basil,570,Your Basil is hydrated,35,Your Basil is too hot. Move it to a cooler place,2024-01-19 10:47:57
Thyme,479,Your Thyme is hydrated,28,Your Thyme is too hot. Move it to a cooler place,2024-01-19 10:48:08
Dill,489,Your Dill is hydrated,17,Your Dill soil temperature is good,2024-01-19 10:48:19
Potato,445,Your Potato is hydrated,15,Your Potato soil temperature is good,2024-01-19 10:48:19
Asparagus,385,Your Asparagus is dehydrated. Water it ASAP,33,Your Asparagus is too hot. Move it to a cooler place,2024-01-19 10:48:19
Basil,333,Your Basil is dehydrated. Water it ASAP,2,Your Basil is too cold. Move it to a warmer place,2024-01-20 10:52:04
Thyme,595,Your Thyme is hydrated,30,Your Thyme is too hot. Move it to a cooler place,2024-01-20 10:52:15
Dill,413,Your Dill is hydrated,33,Your Dill is too hot. Move it to a cooler place,2024-01-20 10:52:27
Potato,498,Your Potato is hydrated,7,Your Potato is too cold. Move it to a warmer place,2024-01-20 10:52:38
Asparagus,435,Your Asparagus is hydrated,12,Your Asparagus soil temperature is good,2024-01-20 10:52:50
Basil,529,Your Basil is hydrated,0,Your Basil is too cold. Move it to a warmer place,2024-01-21 11:57:07
Thyme,336,Your Thyme is dehydrated. Water it ASAP,9,Your Thyme is too cold. Move it to a warmer place,2024-01-21 11:57:19
Dill,343,Your Dill is dehydrated. Water it ASAP,27,Your Dill is too hot. Move it to a cooler place,2024-01-21 11:57:30
Potato,363,Your Potato is dehydrated. Water it ASAP,32,Your Potato is too hot. Move it to a cooler place,2024-01-21 11:57:42
Asparagus,429,Your Asparagus is hydrated,3,Your Asparagus soil temperature is good,2024-01-21 11:57:53
Basil,350,Your Basil is dehydrated. Water it ASAP,9,Your Basil is too cold. Move it to a warmer place,2024-01-22 14:20:03
Thyme,336,Your Thyme is dehydrated. Water it ASAP,24,Your Thyme is too hot. Move it to a cooler place,2024-01-22 14:20:14
Dill,386,Your Dill is dehydrated. Water it ASAP,24,Your Dill is too hot. Move it to a cooler place,2024-01-22 14:20:26
Potato,462,Your Potato is hydrated,31,Your Potato is too hot. Move it to a cooler place,2024-01-22 14:20:38
Asparagus,323,Your Asparagus is dehydrated. Water it ASAP,22,Your Asparagus is too hot. Move it to a cooler place,2024-01-22 14:20:49
Basil,393,Your Basil is dehydrated. Water it ASAP,9,Your Basil is too cold. Move it to a warmer place,2024-01-22 14:21:14
Basil,600,Your Basil is hydrated,5,Your Basil is too cold. Move it to a warmer place,2024-01-22 15:40:05
